episode,time_sec,tick,leader_phase,leader_speed_mps,follower_speed_mps,distance_m,desired_distance_m,spacing_error_m,relative_velocity_mps,thw_sec,observed_distance_m,observed_lead_speed_mps,control_spacing_error_m,control_relative_velocity_mps,throttle,brake,comm_success,time_since_last_comm_success_sec
15,0.05,1,accelerate,0.0,0.0,12.825,7.0,5.825,0.0,128.247,12.825,0.0,5.825,0.0,0.778,0.0,0,0.05
15,0.1,2,accelerate,0.003,0.003,12.825,7.003,5.822,0.0,128.247,12.825,0.003,5.822,0.0,0.778,0.0,1,0.0
15,0.15,3,accelerate,0.001,0.001,12.825,7.001,5.824,0.0,128.247,12.825,0.001,5.824,0.0,0.779,0.0,1,0.0
15,0.2,4,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,-0.0,0.78,0.0,1,0.0
15,0.25,5,accelerate,0.0,0.001,12.825,7.001,5.824,-0.0,128.247,12.825,0.0,5.824,-0.0,0.781,0.0,1,0.0
15,0.3,6,accelerate,0.001,0.001,12.825,7.001,5.824,-0.0,128.247,12.825,0.0,5.824,-0.0,0.782,0.0,0,0.05
15,0.35,7,accelerate,0.001,0.001,12.825,7.001,5.824,-0.0,128.247,12.825,0.001,5.824,-0.0,0.783,0.0,1,0.0
15,0.4,8,accelerate,0.0,0.0,12.825,7.0,5.824,-0.0,128.247,12.825,0.0,5.824,-0.0,0.784,0.0,1,0.0
15,0.45,9,accelerate,0.0,0.0,12.825,7.0,5.824,-0.0,128.247,12.825,0.0,5.824,0.0,0.785,0.0,0,0.05
15,0.5,10,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,0.0,0.786,0.0,0,0.1
15,0.55,11,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,0.0,0.787,0.0,0,0.15
15,0.6,12,accelerate,0.0,0.0,12.825,7.0,5.825,-0.0,128.247,12.825,0.0,5.825,-0.0,0.788,0.0,1,0.0
